signal,data_class,label,train_dsr,wf_dsr,cohort_wf_dd,true_account_dd,n_train,n_wf,win_rate,expectancy,profit_factor,avg_hold_days,wf_cagr,excess_spy,excess_qqq,theme_bet,theme_share,d3_allowed,d3_gated_n,d3_gated_mean_ret,d3_wf_occurrences,data_flags,source_report,git_sha
vol_contraction_breakout,RESEARCH:EQUITY,NO_EDGE,8.053251859832385e-06,4.488878296694675e-06,0.651032701283024,0.559994761808233,9222,6678,0.4773884396525906,-0.006186451340751132,0.879847621768368,26.423330338424677,-0.10169207243665435,-0.255551017502752,-0.3185339835493559,True,0.409,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
betting_against_beta,RESEARCH:EQUITY,NO_EDGE,1.1823652345987206e-06,8.593526355355504e-09,0.9887511620021108,0.9636200205161273,9034,6556,0.4865771812080537,-0.02488615846768873,0.6451085869071,26.4222086638194,-0.35594850862031346,-0.5098074536864111,-0.572790419733015,True,0.725,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
volume_confirmed_momentum,RESEARCH:EQUITY,NO_EDGE,0.003412196921379432,0.019823948735652096,0.41151636850186996,0.4930843445795857,8798,6454,0.500464828013635,0.0026382593552893925,1.0485045482010258,26.43368453672141,-0.020206237285656736,-0.1740651823517544,-0.2370481483983583,False,0.361,[1],821,-0.0002734862268949197,0,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
revenue_surprise_drift,RESEARCH:FMP_EARNINGS,NO_EDGE,0.03305102773952934,0.0004037973090465849,0.5691574195273249,0.43004643236419615,6001,4499,0.5107801733718604,-0.0034053824189517012,0.9394760769725763,26.453211824849966,-0.0373405523098671,-0.19119949737596476,-0.25418246342256867,False,0.392,[1],576,-0.011940178434019384,0,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
earnings_announcement_premium,RESEARCH:FMP_EARNINGS,INSUFFICIENT_REGIME_INSTANCES,0.9788673039190824,0.6652631801746105,0.20994065305589876,0.30260590981928226,7674,4943,0.58345134533684,0.03456328270827212,1.9174946556705663,26.512239530649403,0.300641455234387,0.14678251016828936,0.08379954412168544,True,0.409,"[3, 0, 5, 1, 2]",4764,0.03289558146390556,5,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
accruals,RESEARCH:FMP_STATEMENT,DATA_GATED,,3.8042624931382934e-11,0.8894434321874178,0.7815557374121165,0,3199,0.49171616130040635,-0.02346725840629758,0.6841771743315467,25.255392310096905,-0.3361750134255147,-0.49003395849161235,-0.5530169245382163,True,0.58,[],0,,,FUNDAMENTALS_PENDING|SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
piotroski_fscore,RESEARCH:FMP_STATEMENT,DATA_GATED,,1.1930714224344593e-08,0.9732717669150497,0.8730484102406153,0,3230,0.49907120743034056,-0.03226449700769214,0.6026719991474743,25.25479876160991,-0.4067943590899902,-0.5606533041560878,-0.6236362702026917,True,0.741,[],0,,,FUNDAMENTALS_PENDING|SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
net_payout_yield,RESEARCH:FMP_STATEMENT,DATA_GATED,0.01015910913633848,1.3361826584862808e-08,0.9105682868774988,0.7974709583311421,2165,5254,0.523030072325847,-0.015270363811129293,0.7611227845794188,26.37419109250095,-0.23216519369608268,-0.38602413876218034,-0.44900710480878425,True,0.505,[],0,,,FUNDAMENTALS_PENDING|SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
net_operating_assets,RESEARCH:FMP_STATEMENT,DATA_GATED,1.177925992410714e-05,1.2497917015881078e-05,0.4824791745484436,0.44590327428020105,2683,6539,0.5069582504970179,-0.0039003691039073644,0.9305329940042133,26.374675026762503,-0.06353387050661319,-0.21739281557271084,-0.28037578161931476,True,0.526,[],0,,,FUNDAMENTALS_PENDING|SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
distress_risk_avoid,RESEARCH:FMP_STATEMENT,DATA_GATED,,2.8592684005767316e-05,0.6327918346614421,0.5061460911678337,0,4145,0.4810615199034982,-0.00828204116961069,0.869417663115074,25.254282267792522,-0.09203323775466365,-0.2458921828207613,-0.3088751488673652,True,0.521,[],0,,,FUNDAMENTALS_PENDING|SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
